,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
1983-03-01,-4.370237900958258,-2.679777801400929,-2.4588250812779555,-1.0419132760007992,-1.131158567794412,-1.2057988430626052,-1.0268581714980705,-3.097957835958499,-0.8935765367159819,-1.5924992914916674,-1.532583782691888,-2.9106127892266107,-0.7575076348410632
1983-06-01,-4.365287583006224,-2.685035770931164,-2.4450901495512127,-1.120981137944541,-0.10191188265541354,-0.7688805742991748,-0.9503801817131452,-2.3812667199496302,-0.8785010913740259,-1.5864353265093751,-1.9229823232909493,-1.011860082065849,-0.5366377383896683
1983-09-01,-4.224279883775247,-2.6843560644338567,-2.111462271696894,-1.0676729910614045,-0.4501032956760471,-0.7790475246411042,-0.452958035279364,-4.491557715724889,-0.9417858741626054,-1.8948286292110397,-2.1320768702403625,-2.25468035960957,-0.49167799382381455
1983-12-01,-4.365105728847145,-2.6972854832208495,-2.1526552076667134,-1.26799643919821,-0.6674982256231434,-0.5888064659659579,-0.6322110152345588,-2.475131039831523,-2.1738915135635337,-1.0956565312826088,-2.122977083523863,-2.3989281296732115,-0.8224109098764384
1984-03-01,-3.8816149464780603,-2.686325159468943,-2.0890529214002163,-1.1158434237481625,-0.4260651202105452,-0.5682634426684303,-0.7982540519556264,-2.3134443053065996,-1.3259073437543623,-0.989289574958602,-1.835156537192186,-3.0276884893296687,-0.8739486173547012
1984-06-01,-4.1533707824848465,-2.483613164287944,-2.030598546881535,-0.9578504854766411,-0.5046872659036978,-0.560248191378162,-0.9719150546859875,-1.094902276708609,-1.3186777648116808,-1.6663319980688023,-1.293785482329033,-3.186168772076691,-0.9210130356259862
1984-09-01,-3.8995166796361445,-2.3947361377042227,-1.8833463799302923,-1.0935580109850422,-0.928433170437422,-0.23753347853507756,-0.9900238908931367,-3.266250470108213,-2.5396417053878912,-1.4255005035595931,-0.9293236410107514,-1.485074836291978,-0.9472433786308987
1984-12-01,-3.5959687830069917,-2.36289903709233,-2.026533303220127,-0.9518802452834758,-0.6378540497530207,-0.5580752441696923,-1.0639475582172895,-2.164919084954293,-1.464670732163375,-1.3553498212829933,-0.5870096629450892,-2.305987164980111,-0.940352866657387
1985-03-01,-3.6508040888501676,-2.266166845349134,-2.25521178438165,-1.1460354136928914,-0.5178990783365787,-0.5224295799291092,-1.0006591325050698,-3.112169038277498,-1.1374096789955797,-1.480215963009986,-0.6752937574480615,-2.3933147254382767,-0.9847571486112925
1985-06-01,-4.065052173354246,-2.1226048497877668,-2.134052778900459,-1.0417153443384348,-1.2321899773775258,-0.5973837187045649,-0.8618399436819697,-2.4809826087262334,-1.1727277018694777,-1.4221837156183448,-1.097420099391921,-1.5870294989495342,-0.9325734479228953
1985-09-01,-4.142821000616517,-1.8595664575087956,-2.395927122602244,-1.3183729070833035,-1.0656260337693078,-0.7003712296665827,-0.8878267559787012,-3.2586838514207233,-1.3450360628361273,-1.2922620657279253,-0.937957258421628,-2.0041711333393923,-1.0236164408495616
1985-12-01,-3.586167965226141,-1.9259416035288024,-2.035583577277414,-1.0419185202301804,-0.7818016098097312,-0.6216296612309766,-0.8936512875353149,-2.7243912186323405,-1.3027305433284615,-1.4082566003038277,-1.2577852679097625,-1.664724450722022,-0.6159744817872091
1986-03-01,-4.040431473780775,-1.919735154912884,-1.4603182817439206,-1.1146382396289964,-0.9695416411100722,-0.6561886732363272,-0.9551146100204653,-3.016379313327862,-1.2675783490946095,-1.369259779568917,-0.7376880017905644,-1.035038706960361,-0.5707304582761661
1986-06-01,-3.690757976554645,-1.7240551828710844,-1.9362521124046905,-1.182657001358042,-0.7039214475765089,-0.7719419201144315,-0.708510720670703,-3.186782828754969,-1.1019728876343853,-1.3159843966202849,-1.312944686291176,-2.467981343187714,-0.6820669164744383
1986-09-01,-3.9524049799867527,-1.7549945563269849,-1.7398053287340758,-0.5361835616176377,-0.5655413075606673,-0.7745236989212197,-0.9006189276302705,-2.767967984377162,-1.2493103907529781,-1.339386208037088,-0.8273544685585682,-1.9217577238429935,-0.3894470955979321
1986-12-01,-3.8770962610754207,-1.6272850488862387,-1.6168618249029916,-1.1350031581886082,-0.7078948874048299,-0.8197881922254645,-0.9534720250903025,-3.136046601120115,-1.1996007369405217,-1.273276827010514,-1.3490007295266568,-2.0516221472595646,-0.17882477738150307
1987-03-01,-3.634410620827944,-1.6087073073608056,-2.0847928980861368,-1.246090317777706,-0.8206854295536194,-1.1326878318234095,-0.8897856324018216,-2.741743621242171,-1.2383493090282907,-1.3731261926497609,-1.3783613413785805,-1.8816897913513981,-0.22064697772993666
1987-06-01,-4.0219528084059775,-1.7616860638043073,-1.8836459001271284,-1.1404968521452419,-0.6418463170884957,-0.21076307854606557,-0.6858493441985022,-2.4747877665850515,2.5263559340178086,-1.326077323719646,-1.2143294739267612,-1.8096083742145341,-0.27570147105537185
1987-09-01,-3.7113207012516494,-1.872540785521648,-1.678146353962518,-0.987666692447055,-0.9237894158808786,-0.9713726605991785,-0.9870162774823588,-1.876177852829672,-2.31608714485472,-1.341826592233319,-1.2785844157954738,-1.9217035152289417,-0.33185096720877977
1987-12-01,-3.4798081884637178,-1.8663470899172965,-2.1042044191750526,-1.0576511289022585,-1.0932543461641233,-0.879935057781375,-0.8722342100472859,-2.782747426565622,-1.3545521333077153,-1.4876679399872244,-0.9434533595166685,-2.0819766840142573,-0.3852368578629542
1988-03-01,-2.636466231169437,-1.7882490947655958,-1.4688624352689206,-1.162010557520205,-0.9696066134885137,-1.1859510068274524,-1.9997636525478284,-1.8282456441132564,-1.63776501226133,-1.4609563780461694,-1.249169051306912,-1.383583081609137,-0.6165102374579841
1988-06-01,-4.006561133864128,-1.5664743350842212,-2.086828257624503,-1.2052945482235766,-1.2848401142358377,-0.7769846445806403,-1.5558227436863974,-2.348419793264541,-0.199979271990273,-1.2058546322197534,-1.1714637548297853,-1.7337352209539283,-0.6198327371780559
1988-09-01,-2.94041188953254,-1.659632689555559,-1.7687388865805218,-1.3284035614306178,-0.40035691607981994,-0.9142183083261928,-0.9659565951886018,-2.5850044928402056,-2.74437954473283,-1.2038364434655557,-0.903525341847421,-1.7845261537700172,-0.4683190376888281
1988-12-01,-3.7453948485112094,-1.7462211577985094,-1.9113915233534988,-1.3919215818163704,-1.1391235016632986,-1.2577255269137795,-1.074106625304823,-2.6899862461204265,-1.8272633364956237,-1.0947529534478468,-0.8621837580241455,-1.6029362760547092,-0.4920695617169275
1989-03-01,-3.867921799487851,-1.8050264028919107,-1.6150247771508701,-1.204689374517185,-0.682066588979264,-1.0365537057642662,-0.9095023319265055,-2.2859909395781015,-1.7172582831201277,-1.1725249601640821,-0.7767645708496341,-2.580306424785946,-0.36538798637826025
1989-06-01,-3.4092858875040633,-1.7582493075779722,-1.5333135075247208,-1.2592305791786562,-1.2352491857184427,-1.0144523866493687,-0.8902491521456302,-2.330165064588834,-1.5268282723968236,-1.3918643012006302,-1.479654158880478,-1.6934406056430364,-0.33811117094616155
1989-09-01,-3.545977373597144,-1.3764835081057702,-1.856747315943692,-1.2457583444327254,0.02504734215028906,-1.1181374337445917,-0.7733411069023158,-2.4398902698719542,-1.6860533662484598,-1.2072592710376708,-0.24106169816010875,-2.312314221152917,-0.3160764124994706
1989-12-01,-3.4459436580348064,-1.7011642511843106,-1.4995032862876772,-1.2008712852467267,-1.2894627783811041,-1.1425130973764968,-0.9609809641047034,-1.877498930202579,-1.6336046786864638,-1.204170859068722,-0.9606055756917513,-1.5365153292087248,-0.1202129372084783
1990-03-01,-3.69834902841329,-1.8807297243052443,-1.4616578293429203,-1.1687881986355138,-2.0782210830999017,-1.2936104659763776,-1.0094157383855076,-2.82485058650449,-1.9013434512419483,-1.1778053744567494,-0.7587617997608906,-1.9882764708161111,-0.06494963344096762
1990-06-01,-3.2000331909326314,-1.8673971819316217,-1.6996062091714268,-1.2620554350144004,-0.16158894398317777,-1.4045746828373213,-0.9325400323157054,-1.83608705502367,-2.712618980512164,-1.3583409692791732,-0.6302582252723588,-1.8950013098051528,-0.026650461919455803
1990-09-01,-3.6956496829208505,-2.1874074735185656,-1.4982853644875878,-1.3484861385182176,-2.062737895779221,-1.6388077165200892,-1.0242231300638138,-2.1195878232963574,-1.3394867359458584,-1.3410131651003314,-1.445819034350286,-1.1054970997093763,-0.03602358487609672
1990-12-01,-4.037934480255442,-2.3381740426495785,-1.1306642999998446,-1.3190925707424175,-1.5997619710063224,-1.4238204491373105,-1.0701254212530351,-2.3050562147609597,-3.333273936473455,-1.2013529723488992,-1.5404425452858215,-1.5660427873302174,-0.01983995731091103
1991-03-01,-3.805616953510948,-2.188301112145097,-1.477000857121818,-1.445095591192119,-0.6327160948632633,-1.3565785047459997,-1.2775143096919668,-2.2226985022173853,-3.1309141587298193,-1.4579969367365828,-1.3417183973784583,-2.539177542994725,-0.026994630430547735
