country,date,CAN,CHE,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,SWE,USA
CAN,1997-12-01,0.0,0.08631762154094103,0.02478492941947075,0.0009867874898901222,0.017533936459883423,0.01655171267181274,0.004678261879901313,0.01473198590187737,0.0031845202730443178,0.021008550814861783,0.011840766622677676,0.10528229534860264
CHE,1997-12-01,0.15322332203578856,0.0,0.038234233727450495,0.12719948442326998,0.07302257021003561,0.004595482233819936,0.0038750094169202453,0.005338023559226609,0.0022937466144889573,0.017293714484272197,0.02071635473310153,0.0671640852774073
DEU,1997-12-01,0.006472996936022605,0.018001115278765387,0.0,0.020572048629376352,0.025664646767302738,0.0060037215346154275,0.029676857096565878,0.027826892671949172,0.007818585368528762,0.008128981413781702,0.0077033168395090655,0.009424842478603765
ESP,1997-12-01,0.001970459800416339,0.021375178331419845,0.012020438784641076,0.0,0.01094513144932808,0.013332400800576074,0.06798451916447525,0.007883037869249338,0.002919904130214792,0.01318326412276633,0.0266156255889886,0.010142233911175668
FRA,1997-12-01,0.03752221425456953,0.11570638123439794,0.0036499749558977944,0.019695481992629355,0.0,0.010673315743648729,0.01030109884437853,0.005255233767951415,0.008176493256342569,0.018985639658501443,0.04026440806579051,0.08606958982270906
GBR,1997-12-01,0.029261548712296182,0.007512528667942248,0.015745772697964094,0.040702851894031014,0.06659190753081343,0.0,0.04270198327258091,0.010324270494313073,0.10354782822442507,0.006471149290749999,0.05173848320401377,0.04190181204758631
ITA,1997-12-01,0.005148648344337351,0.021276448964278244,0.02410295798931112,0.08986195263780646,0.013715156543946241,0.020638686975651455,0.0,0.021655023333934813,0.0491223244668847,0.006832118691197712,0.012203439870140718,0.002651358808043986
JPN,1997-12-01,0.02248861233839677,0.009352438699489759,0.019151169973272066,0.036686266776350236,0.006921206935116276,0.03251820991769461,0.012257164339179689,0.0,0.010443621063879789,0.017044920409597455,0.06051332352995785,0.0222193786761496
KOR,1997-12-01,0.017268097711103103,0.04692453860027413,0.0038860601091196658,0.03530377387333394,0.02552692835416193,0.004385535841222658,0.03109456891972688,0.0024454788866136007,0.0,0.005821206045789094,0.027579835583628795,0.023988106338791306
MEX,1997-12-01,0.006000541537041354,0.0052819541169416215,0.003790645223441592,0.0472103356420461,0.021006527050515283,0.013947962910637492,0.018030129500838616,0.00906075816194102,0.00590005883568394,0.0,0.027254358701903004,0.03261191773115593
