country,date,CAN,CHE,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,SWE,USA
CAN,2002-12-01,0.0,0.046818122100313615,0.07202580712248301,0.04795584210517014,0.11189526167476872,0.04234292134257052,0.007385003569471421,0.010899225380205168,0.011137015106152871,0.08222502700684725,0.02250145730539715,0.09908308577831165
CHE,2002-12-01,0.02547885721274147,0.0,0.022405334458511717,0.08399788766317805,0.07795161234268809,0.051171288503115406,0.013828214966405766,0.10219262798226694,0.007609934559964585,0.00365764346750865,0.025548046569867488,0.018074582623114274
DEU,2002-12-01,0.08204058701268505,0.027048171757776726,0.0,0.013652319005325146,0.06753641051144185,0.024139606939196208,0.01735263976743897,0.055778617186433385,0.024850177647803853,0.0049410942084540665,0.037981060651361705,0.0865239240855594
ESP,2002-12-01,0.034447841803819386,0.012426311856716356,0.012444480327613658,0.0,0.0914542295077857,0.07216406613270814,0.012051749292368186,0.00995796213858822,0.022333082838382003,0.020436311487522656,0.02939786190813365,0.0404109770135456
FRA,2002-12-01,0.03199058181290648,0.09986002266471602,0.010722722325872628,0.003341638349187911,0.0,0.058656744306801976,0.009018087111905455,0.012315065874999741,0.008930617450780937,0.005727852858995672,0.018134234039640186,0.02089485260226106
GBR,2002-12-01,0.009885389340714971,0.0626575804987451,0.0516586398571754,0.05080284770267497,0.1369051552007762,0.0,0.04181701262380077,0.021931425241533683,0.023891855261745164,0.008755005784376761,0.05322992067844217,0.06529941253629755
ITA,2002-12-01,0.01892336874747771,0.022739095965071423,0.019991986130058245,0.020083499450508458,0.011631390869948858,0.04897899281031087,0.0,0.02574039511996529,0.029702952355546916,0.059743861886236926,0.10839327214218304,0.04194386260648555
JPN,2002-12-01,0.019083468378289593,0.05389479471785225,0.006181431720392208,0.009722166584452827,0.021379113754487176,0.006682955562432552,0.03557476698059691,0.0,0.010530274596526227,0.011111696532948235,0.007782178150911905,0.007045743511116447
KOR,2002-12-01,0.010606609104951469,0.015537626418009418,0.011414774167106406,0.023117084323940554,0.014817815662047746,0.04844476751023992,0.031694932302532286,0.007031185075997383,0.0,0.06446392449958346,0.017617816339171137,0.0308022589997488
MEX,2002-12-01,0.08476501397609021,0.02962241023368698,0.01924397066773147,0.09310566869426004,0.0074422927332938454,0.012539562548921095,0.01587898733554334,0.06463233512452152,0.10217901227369582,0.0,0.012155106569153765,0.05380488699491135
SWE,2002-12-01,0.04226889924711573,0.0233747109451391,0.037619198314436095,0.030185569621667945,0.011044679301199447,0.07429842085835547,0.06959546787290372,0.024460379328724677,0.03440182993331844,0.01602023141459381,0.0,0.0492268472092267
USA,2002-12-01,0.03995186015084285,0.01639707232235635,0.08993485988813553,0.005431646904216862,0.024415166847335443,0.06865274680737699,0.04144488363867168,0.007552539422523053,0.00724334853680126,0.07341233402113007,0.029377768137470884,0.0
CAN,2003-03-01,0.0,0.06856694897952216,0.1185440175031446,0.02511419129007126,0.0611143559651122,0.032142024069737374,0.008928301117723471,0.005513969987006567,0.012582386279141313,0.06481421135499404,0.021393345349977888,0.05829642364654709
CHE,2003-03-01,0.025833908902431854,0.0,0.024541509571634496,0.08236056018869707,0.07263845327306331,0.04813134031805852,0.013343374823899802,0.10091133996198734,0.006556343373651422,0.0038065872726127403,0.02768464325572097,0.015738927394384372
DEU,2003-03-01,0.12580542956976698,0.03736820936553751,0.0,0.01098712704500144,0.02944197803691635,0.032875373619061156,0.011833471839458994,0.03341355995187629,0.03476672652500936,0.007871931072281308,0.026445416591092192,0.08691459140682613
ESP,2003-03-01,0.03118214938791851,0.013128846084447525,0.016984777190636586,0.0,0.07926258516069311,0.07776745546144227,0.013404957978356884,0.009298142043907677,0.020704423528728536,0.020893432345786587,0.03321350292755318,0.035256351485777285
FRA,2003-03-01,0.03201325622231553,0.09099758688876551,0.01391824846161333,0.0030362406872570294,0.0,0.06206987209568671,0.008142153365635972,0.011731505213306867,0.007120670072865499,0.007134389418839282,0.014779370755475639,0.021657206180758802
GBR,2003-03-01,0.013985641547496834,0.05222331356858375,0.05483472511267626,0.04675409313866935,0.15828793142860798,0.0,0.04300866084758571,0.0245748788588369,0.02621500213252508,0.0070521481569184455,0.04513186228815886,0.06992703878639002
ITA,2003-03-01,0.027951175493529917,0.022978508338016082,0.025024057413995163,0.014962348976351455,0.010314750603491954,0.048024401038636935,0.0,0.02371659456980794,0.03166022702795118,0.063613655751733,0.1008767062549829,0.04927793258728597
JPN,2003-03-01,0.01970333600260827,0.055816285056670335,0.0070407912172575126,0.009836615908727406,0.02048738119238674,0.00611242345859201,0.0362761697036283,0.0,0.010146361889446436,0.010882353098690232,0.007652636721640997,0.006801510700364832
KOR,2003-03-01,0.014360993992597802,0.020307958554905997,0.017881662460073118,0.023375569142964864,0.019618709898712165,0.04636412540306964,0.029513256311057005,0.006341841998731899,0.0,0.06457216519363333,0.012946403827927463,0.022557084535782805
MEX,2003-03-01,0.07928482928238893,0.028409137377891414,0.021352531475122036,0.096849755716292,0.007755086564837778,0.012821667439579802,0.015577610543125422,0.06539937460560372,0.10228343884449566,0.0,0.011766568637637444,0.05401253347033006
SWE,2003-03-01,0.036985379692802474,0.02444949695695944,0.027454537679864312,0.029684067650192013,0.009492943281554093,0.07135459803510917,0.0698402079598631,0.02250663519279386,0.0339388616419321,0.01727625398682651,0.0,0.04770679091492691
USA,2003-03-01,0.032787610845173,0.015473738097511609,0.07225469728797014,0.005832577105132584,0.02278013465339241,0.06593412539469513,0.04089090159861162,0.007438217858664125,0.007566068298905199,0.07541257156489871,0.03281565047876059,0.0
CAN,2003-06-01,0.0,0.07225563044440148,0.11791517386986877,0.025863500798855056,0.062433757133987924,0.032460910860868004,0.007014707368239914,0.00479259942251798,0.012584880027706526,0.06296656851190474,0.020247617039032877,0.060990679106224285
CHE,2003-06-01,0.027811055718872654,0.0,0.020325348808462613,0.08234986681039826,0.07490440221380798,0.047675161075369996,0.013609511704101658,0.0993292320404789,0.005239492536947795,0.0051707969425914616,0.02376025730040769,0.013759777031122949
DEU,2003-06-01,0.12664380001500622,0.035708851123698766,0.0,0.012080678227331401,0.02865152624667431,0.03179659931144573,0.00938669066065854,0.03494685683124958,0.03987474997440927,0.008697870863559061,0.02863885852386323,0.07430346649764108
ESP,2003-06-01,0.029133197213183627,0.014929533991502379,0.01723183134404286,0.0,0.08146766668949314,0.07636306029451231,0.010775505563116438,0.01041729246465135,0.018614751961007005,0.021384944191146754,0.030433728547059117,0.04088998351824333
FRA,2003-06-01,0.029375254896703774,0.09213459438960346,0.014294415599832942,0.0030705463697905644,0.0,0.06406742604120978,0.008038470540757578,0.01217169688745375,0.007516483475764146,0.006050960524474002,0.014177026393635493,0.022298242239196887
GBR,2003-06-01,0.014232414862146218,0.050853544411919104,0.05526528287409512,0.04703572182077796,0.15927057561021205,0.0,0.04192122239994507,0.024764402200587843,0.026472282680565177,0.00700096111380101,0.0446121644069366,0.06629212410761655
ITA,2003-06-01,0.020410615853198033,0.013803294048151074,0.017419664127397247,0.014512082539243184,0.010052046626534684,0.04314572371343216,0.0,0.028860590779561733,0.02570636272475175,0.05366858093103109,0.11235659724296806,0.050330727122668194
JPN,2003-06-01,0.02415595088223204,0.05112218738197368,0.008065921440269701,0.010972677930652751,0.020083626375057582,0.004608916557607244,0.04822422176851628,0.0,0.011584103261296679,0.014348066490295082,0.006885177000000027,0.003409205063990068
KOR,2003-06-01,0.015725503133561903,0.024690192142159676,0.018469483248282438,0.019619569362252096,0.01831913213624652,0.048300300224549036,0.02933451995568607,0.008372588167046913,0.0,0.06817989865963392,0.015133696248658924,0.0329308553261442
MEX,2003-06-01,0.07921628572263538,0.032735973720101265,0.022478614288020445,0.09781974009903298,0.008615802550618994,0.012982223962232203,0.015299841824672436,0.06051164562551032,0.10663702090105141,0.0,0.010827667331691344,0.05137179106492895
SWE,2003-06-01,0.034168792879823384,0.021129570923657068,0.02860303255578502,0.027981548007489736,0.008513952838754052,0.06751545654889264,0.08055839701263698,0.022381592769743892,0.0359378282022931,0.014298391599936814,0.0,0.03657746329653625
USA,2003-06-01,0.02972456460800114,0.009010975154562933,0.05771799102001996,0.006179848240747658,0.02588229101383358,0.06221730552121703,0.019195422221053495,0.003810741913193909,0.008095717669199125,0.07007469636440766,0.026265773475164195,0.0
CAN,2003-09-01,0.0,0.06632620650159737,0.11764958754385932,0.030149170304345694,0.06597652361478948,0.02894757719946423,0.007065926983027866,0.0041570763667818245,0.010914349963676422,0.06489886751256824,0.024415785972157163,0.06371939974189927
CHE,2003-09-01,0.028992244628142354,0.0,0.020725527582366947,0.08228863648681756,0.06948692958065324,0.050554271811188524,0.014883425040186929,0.08874310794930913,0.006520660890629157,0.005184004025600137,0.022269278629913188,0.015051685315735893
DEU,2003-09-01,0.1262085816358427,0.03619915832853031,0.0,0.011589790317322327,0.02757614036777257,0.030864172900716278,0.009260114901224739,0.035611457061015324,0.042663705021080564,0.009039300869426399,0.028860905062238897,0.07502911792972812
ESP,2003-09-01,0.027565452955288918,0.012174874647308327,0.01508596925784878,0.0,0.07990014284888096,0.081357276140987,0.01185170523134817,0.0181219397625305,0.010550332361180624,0.024664212619423205,0.03905307002902516,0.03731941157068508
FRA,2003-09-01,0.026758016330901642,0.08532424353405392,0.015158039189757637,0.004102922685070107,0.0,0.0577107107863821,0.008973626210857386,0.016312982745844574,0.009778672619189568,0.006120649785018243,0.01646381416236958,0.023817157965750686
GBR,2003-09-01,0.013738250511081193,0.049569991005759116,0.05438187652458443,0.051720273465944364,0.15628575894348493,0.0,0.04143758304398005,0.02129446681671875,0.029473655563458493,0.006067200379298916,0.05031086446895857,0.06564416624623423
ITA,2003-09-01,0.02023393612001289,0.01448446289219178,0.017308994289839993,0.015902269655851144,0.01116560845329466,0.0417350461890237,0.0,0.03054904868118054,0.02411829499500758,0.0524622775648357,0.10693248028152996,0.0500220762639824
JPN,2003-09-01,0.026431942129506593,0.043776080663459685,0.009051215239881366,0.018500403264771315,0.024850007663490558,0.00525629781478755,0.04889027223992386,0.0,0.017578017224641303,0.013533469634804143,0.00894435750241948,0.0029086352361995986
KOR,2003-09-01,0.014690917067357827,0.028803283862043724,0.016458164595927288,0.012413105188448535,0.021784348152348455,0.053200587504680014,0.026248851382909902,0.012918422538869581,0.0,0.06065009781910315,0.010394842568787225,0.030651841971049858
MEX,2003-09-01,0.07850213715214499,0.029965269693095906,0.022984946658221646,0.10323735371185912,0.009680926119059565,0.012921675319490606,0.014302291595515671,0.05450000014065117,0.102050878506342,0.0,0.009756920610981532,0.05401000806924927
SWE,2003-09-01,0.036743768664135514,0.017219735934867277,0.029651186786076433,0.037057857342883416,0.01144683567121218,0.06829855826409036,0.07604106654981467,0.027726916194895018,0.028590752357852977,0.01246341528904445,0.0,0.03740456561401054
USA,2003-09-01,0.0304218907853941,0.008339792004862791,0.058310983604154626,0.007587777331177975,0.02802821946731737,0.058486251631485436,0.018771049098321925,0.0028162388270053366,0.007511122204111325,0.07169605393102241,0.028835280094884883,0.0
CAN,2003-12-01,0.0,0.07050143330566738,0.11743388172417164,0.02826929490148373,0.06293857011240955,0.02961680650402617,0.00700813631294572,0.0040739336525701265,0.010175058878887264,0.0642206638489638,0.023982867275107497,0.06275713720582526
CHE,2003-12-01,0.02657952341799559,0.0,0.02137316348564207,0.06086823432202973,0.053166196358289564,0.06036768988643178,0.015865797574349947,0.08951883659583841,0.010279744576512796,0.006148784807298306,0.01698078531052934,0.01581993612579467
