country,date,CAN,CHE,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,SWE,USA
CAN,2002-12-01,0.0,0.07191769165297268,0.01161899229006354,0.04400411086738502,0.009367729950792648,0.038094835030112024,0.0328247758680273,0.011209354739792017,0.0458950421688224,0.02968490200913545,0.0702109272978176,0.06578148886898279
CHE,2002-12-01,0.05919074718000197,0.0,0.039380615427102604,0.03744445228085761,0.005945957543546596,0.06051537921078607,0.007115240487494445,0.06596723528498499,0.0029634452067601913,0.019154157234903844,0.01180517725267941,0.040597764831853685
DEU,2002-12-01,0.08265918515743916,0.04775163934599809,0.0,0.019844906893408728,0.06696384194306344,0.09222300313753445,0.036503926401739745,0.04296680523856027,0.018893986510796795,0.016381949207583766,0.014396479351465772,0.10617233173828916
ESP,2002-12-01,0.08454738956284526,0.014530614246706496,0.022719138425844415,0.0,0.05742517772048344,0.01273989216396397,0.14881613044122813,0.026227043475192224,0.02383824873280251,0.03138465526174286,0.020884476037123928,0.011769377875813869
FRA,2002-12-01,0.056439298736544276,0.013909943200448803,0.03952383402168454,0.022755386154851762,0.0,0.00480502935294608,0.12465601064949744,0.04777756526323573,0.09182826406105421,0.004841094396779386,0.014940124605404314,0.04106144778098732
GBR,2002-12-01,0.007177720218823641,0.004867242002461334,0.03251850896082369,0.012762590558168634,0.007377494428900084,0.0,0.00315828818887709,0.03355692546396654,0.01067511380383378,0.11549423290851181,0.017826357748664375,0.06747461311618919
ITA,2002-12-01,0.03565499173066545,0.010664175611878643,0.022171734380223462,0.027221087588117285,0.11673947816483267,0.018960061512941283,0.0,0.04029802675323228,0.05256889675236215,0.02298999304466083,0.0197644409754586,0.05145447572003261
JPN,2002-12-01,0.03997397148262282,0.0036776203698582316,0.02091722797775976,0.01664401544122369,0.048689093019559905,0.04411408633204988,0.08446188800176008,0.0,0.09006343643444724,0.13199936209042526,0.047446693980716076,0.04750772129700406
KOR,2002-12-01,0.05269601380122924,0.003971064823695445,0.016014883028125343,0.03747458696325156,0.09755831301987941,0.01547445733399652,0.06951482747426692,0.05621118916749869,0.0,0.0051291998146118425,0.01546706247940836,0.01813389368593944
MEX,2002-12-01,0.025875471171968714,0.020612928456134844,0.0183075288279536,0.015461346404364647,0.012074696792367143,0.0184683829588551,0.006396890560878827,0.02071552797840995,0.008012105977928204,0.0,0.012010871393577935,0.035412225431932384
SWE,2002-12-01,0.01820873438598747,0.009454910603072688,0.0019592156879224805,0.04950891437428459,0.009293221887001595,0.02106444229854387,0.014841985397689415,0.0324763726253782,0.023019108073622882,0.006779635099692633,0.0,0.035284377706281095
USA,2002-12-01,0.017495675893189896,0.03031500662520759,0.042450328119584234,0.007226878210628207,0.012460870703572111,0.20523094167418893,0.03671164460133583,0.07563208645945498,0.04173110558837124,0.030024930163424668,0.014977812953017963,0.0
CAN,2003-03-01,0.0,0.07254308483061374,0.008955271839751762,0.0616051206526986,0.00587191954384038,0.06751562733646244,0.01758496408059266,0.008752686072419268,0.023608767143018024,0.03738790258933749,0.0625693866104214,0.07104046077144417
CHE,2003-03-01,0.06412380799865511,0.0,0.028084349901105723,0.03915331902557318,0.007420461899170094,0.06718960290245307,0.00918480516891679,0.058009345211311875,0.004763707139759521,0.02381345247093821,0.011564904268561684,0.038565610559213204
DEU,2003-03-01,0.060878889645325576,0.03714513914488901,0.0,0.016916055724555908,0.07460357588051324,0.10251167806705752,0.021339400687445248,0.029536298774260533,0.026588108295812353,0.010549198644045975,0.00684747134213457,0.09681333735252635
ESP,2003-03-01,0.09304953838719132,0.01269250016866882,0.03211159423356312,0.0,0.04278482050652675,0.04159007430700216,0.07290962737576233,0.020189157685384238,0.015239479113468821,0.05293694507100091,0.02774713314655518,0.01860035948953033
FRA,2003-03-01,0.045439870570610406,0.015481467582744091,0.04959723951494589,0.012477588674628509,0.0,0.007885204481209432,0.12735790185649004,0.05464619118385687,0.08029056599437362,0.006807755947490152,0.008868317409274734,0.04450681037679919
GBR,2003-03-01,0.0145519280768378,0.011486062744118487,0.0565027791243085,0.02756260463657657,0.013072309023518427,0.0,0.020527856338428394,0.045098081570061316,0.01361078835325357,0.07138327510572869,0.00468544346427095,0.04930700572628376
ITA,2003-03-01,0.028198231948443574,0.013232887555851629,0.03194158166168425,0.00716802093821551,0.1256388808176587,0.022296974159966884,0.0,0.045304894073106936,0.04427540836778138,0.031800365113994616,0.007602170234089378,0.06740061891299072
JPN,2003-03-01,0.04662184346724604,0.004580182437081931,0.02658453725400299,0.016486328850738648,0.04423905453387044,0.0328270804156905,0.07531112508437666,0.0,0.08923262961660879,0.1369702908145979,0.05671407481427718,0.050513126616729735
KOR,2003-03-01,0.046969269131373184,0.006684772005129631,0.007917897726329629,0.03343245639350498,0.08776259121995732,0.02810538026134041,0.06834536873827662,0.04789975710776486,0.0,0.006873156544597873,0.012603362721376039,0.01593624012120653
MEX,2003-03-01,0.029271710610121716,0.017264162491170437,0.013424050568944301,0.02064942597473896,0.011685107867202586,0.025971302669837482,0.004061771688408042,0.017775690073223792,0.009143426776138212,0.0,0.009131157407462457,0.029462908030219722
SWE,2003-03-01,0.022952238721468232,0.005068281932793133,0.002048392760297617,0.028705362097423814,0.005895054044358908,0.005680858316723679,0.011296341702025087,0.028858934218994773,0.011434863291245061,0.004174220344822119,0.0,0.04371346817421731
USA,2003-03-01,0.026591748059427163,0.02526654732236374,0.06124504306554532,0.010108942709030946,0.013087851292067956,0.17068747083697616,0.05415762169480072,0.06138653345730303,0.05385769173406617,0.01989168617509685,0.02514635421106829,0.0
CAN,2003-06-01,0.0,0.06719224917205913,0.007834165861599863,0.05774552322737932,0.008487237630205398,0.05112169880808735,0.01958220476703886,0.007350444915106388,0.027480846593271747,0.03951198605370014,0.06545494531195764,0.06360443323831073
CHE,2003-06-01,0.05772924147591478,0.0,0.028685301035825245,0.037495428598416224,0.01160721375557985,0.047793246480235405,0.009727086362444117,0.06036457183622983,0.006454448761974135,0.021047725933629923,0.013022238338623045,0.030431659295532806
DEU,2003-06-01,0.06343362816951145,0.039561764745997756,0.0,0.016259431781962146,0.07531128109833017,0.09893707832853524,0.02181141101640526,0.031070452814993783,0.025921909255676518,0.0104259481068041,0.009348270271822947,0.09446619202531918
ESP,2003-06-01,0.08780212398704125,0.013947611867568271,0.030531898091234404,0.0,0.0368459000016439,0.056691906082965086,0.06249945638788859,0.02461518215552354,0.016116244940673645,0.04994494268234614,0.025428131458211833,0.01549525992470619
FRA,2003-06-01,0.05679532234202318,0.019361339519854876,0.04658342429086873,0.01050289320659758,0.0,0.025702359153151264,0.12179907299336985,0.06088111230121353,0.06772830240187427,0.005521793109920133,0.01767754206062347,0.03135302311601672
GBR,2003-06-01,0.011037123056970088,0.01490100105043031,0.05347247510951754,0.031449998791576686,0.01706305859500453,0.0,0.02792246990976067,0.04980378302689457,0.01633744562060265,0.06913688199936767,0.008844137534008834,0.03532101923994004
ITA,2003-06-01,0.027604650780349523,0.015206943263824768,0.029299137213603756,0.006077634967114156,0.12682533851785177,0.01440771646386772,0.0,0.050400838246587344,0.04474954147635223,0.028281797503892824,0.010762265183993886,0.06985282000114647
JPN,2003-06-01,0.038827410598947315,0.006113614317810746,0.025346596257808135,0.018011646296222414,0.05680213505722568,0.06079673889969124,0.09039202714873724,0.0,0.07180244707417643,0.12068912134876729,0.057589221641360974,0.03492174076125153
KOR,2003-06-01,0.045192526819999614,0.008875020523891145,0.00747126835437287,0.035107075445822956,0.08017622397102268,0.03636688229312359,0.07060821372702586,0.04866606329971684,0.0,0.006738147614983577,0.011105866123857628,0.016054630416257674
MEX,2003-06-01,0.030344999138470507,0.0191927605824232,0.01304135340569179,0.01991487768224519,0.013406100316829777,0.020512133200487087,0.004860737457878758,0.019660815290524453,0.00912122847480579,0.0,0.011208978996083068,0.03123807772894844
