country,date,CAN,CHE,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,SWE,USA
CAN,1997-12-01,0.0,0.04683138232265191,0.016390657620471084,0.04511521334071207,0.005877565166942722,0.04218505251037872,0.046329194671139134,0.03343666537835597,0.005630919641601725,0.08518741863783136,0.049954031730998015,0.03930141656560277
CHE,1997-12-01,0.038502538955993065,0.0,0.006064833097130784,0.08310595489590435,0.009656650786621068,0.010434275622995011,0.009913272320371131,0.003066926265078455,0.004363866086849753,0.04180372555342671,0.0233267390951937,0.011820451385763668
DEU,1997-12-01,0.0633707340597404,0.01307870928915001,0.0,0.016301257230694713,0.004115603113924319,0.015445862007536934,0.04384483179456941,0.004947890733974443,0.013490649542539772,0.0062532308230632385,0.01733211588103848,0.06996884194539735
ESP,1997-12-01,0.03554081419818315,0.08380599913494051,0.022204696479326307,0.0,0.08132274644234626,0.025067825385756394,0.028984732077730196,0.03152660412897583,0.010170095612195739,0.005516599552862493,0.07031745622500642,0.028135343606092596
FRA,1997-12-01,0.005215979774364393,0.01335033733080538,0.02171577478543754,0.017882972339068867,0.0,0.08101573180767713,0.07498005352965224,0.026403632950914156,0.034736112146405596,0.06316991554712825,0.004179409078897528,0.019278285725998778
GBR,1997-12-01,0.003500539844698507,0.016113833254359767,0.01857120984484177,0.024897156605726584,0.025604066704524843,0.0,0.016653880161978246,0.004937536890487159,0.021141760699903013,0.002308191787896974,0.010508982162117144,0.011814044756215948
ITA,1997-12-01,0.022118860860088855,0.018121132927827223,0.022667079385775373,0.016449377347454556,0.07144048261749901,0.08835001397292538,0.0,0.02329462928025386,0.009911567169181379,0.028132158764499017,0.02076056084447367,0.005437270104588668
JPN,1997-12-01,0.06304290050082574,0.004509458071454456,0.014280573357724704,0.041605181982188585,0.03196178492317167,0.022968921116249423,0.04378799189968549,0.0,0.029284269342955586,0.008742414390042112,0.004381035631099183,0.019229290674362513
KOR,1997-12-01,0.00396267514045491,0.007290708867969363,0.022205539280254098,0.07933416745565487,0.04948430227170335,0.008037915555665276,0.02802437830887681,0.010510814680449681,0.0,0.04635156069391653,0.017329758118585278,0.002469396854922193
MEX,1997-12-01,0.05944366589179309,0.0035893896620705144,0.0037301338303371056,0.026193703205732808,0.025543792213569713,0.002048989173047557,0.003898850972850561,0.0020527915862859065,0.08464543719586526,0.0,0.02030139940909031,0.010553441116799551
SWE,1997-12-01,0.012397065084350421,0.003314361046562147,0.014294613492470003,0.041904578522635905,0.0050424293811639175,0.010001702310112864,0.019835439588249733,0.007185986228398872,0.02147932836994103,0.04284828069283335,0.0,0.005092728788480302
USA,1997-12-01,0.034935009282738634,0.003085023762603373,0.008725237886543485,0.04305707184071755,0.008606735464367712,0.04013798329525661,0.00289372511806059,0.030570118495231068,0.01561860353773363,0.005023249199133345,0.01904961137185883,0.0
CAN,1998-03-01,0.0,0.04681057064017912,0.01610261921037915,0.04478648428569659,0.005701906942412203,0.043619513717590486,0.04536288286698867,0.03435184495786886,0.005398768277370236,0.08332017431831565,0.05004886258110052,0.03902367020367875
CHE,1998-03-01,0.03811653690792732,0.0,0.006480568158988358,0.08246069406198768,0.009587680233582216,0.010348230783408996,0.009997421943465708,0.003019978207782087,0.00430117420455381,0.04283587303632405,0.0233600386821167,0.011507100668767417
DEU,1998-03-01,0.061094014381051,0.012861993502396266,0.0,0.017909596766759794,0.004230788536202738,0.013973734864348306,0.03420951286964708,0.004893815636682805,0.015035930640290313,0.0034652944239035952,0.017898231509514206,0.062393544067449215
ESP,1998-03-01,0.03489357419904357,0.08304710546542565,0.021762038859073112,0.0,0.08363504375616863,0.02439082146687023,0.03041900730270781,0.03256105430495479,0.00976956499058152,0.00619746304022831,0.06927427932315425,0.02888825887511213
FRA,1998-03-01,0.005302613139312328,0.013263310180199524,0.022366908408996754,0.017728910578649615,0.0,0.08078298686488085,0.0747058731885219,0.026734417975773077,0.03474989362015749,0.06367713886581326,0.004140603750956352,0.01904385892178367
GBR,1998-03-01,0.003408233567517494,0.016228649162490415,0.019065775854379883,0.025220325804046883,0.025224003840489284,0.0,0.01593338585109188,0.005187180686192341,0.02177094659417425,0.0020024413602085416,0.010335554441710781,0.01129667170028995
ITA,1998-03-01,0.02232324968396285,0.018272611913414897,0.023004209198381923,0.016229951787287304,0.07123704555239853,0.08693854246800865,0.0,0.024083864641570016,0.00980828615254787,0.029263722120906655,0.02052054444387597,0.00521454661293796
JPN,1998-03-01,0.0636872434302321,0.004315281403101414,0.015890999151505006,0.042466368990988705,0.02951472895069339,0.01981951191429862,0.03992194061253998,0.0,0.030294625668163037,0.010662974761763415,0.004017343944104241,0.018954391458773825
